Date,EW_Nifty (buy-hold),EMA pillar (any of 4 MAs),Drawdown pillar (DD<=-10%),Zone pillar (any N-day low),Aggregate ANY,Aggregate MAJORITY (>=2),Aggregate ALL (3 of 3)
2019-10-14,113439.94818794167,83848.74936845423,92612.86222007603,39389.47772848674,89013.93830927153,85085.71125777598,43503.25625324678
2019-10-15,114585.40815537152,84781.10554795824,93830.71283320778,39389.47772848674,90036.04215791235,86207.83845222236,43503.25625324678
2019-10-16,115366.15100367204,85011.24706613115,94078.33001762304,39389.47772848674,90276.28766488587,86457.38915573125,43503.25625324678
2019-10-17,116651.53729576839,86271.09793106708,95430.04811084512,39389.47772848674,91467.51276210252,87876.4325953594,43503.25625324678
2019-10-18,117933.89207629277,87026.0111341935,96220.61202344869,39389.47772848674,92242.92490057249,88630.23968365148,43503.25625324678
2019-10-22,117798.19903634735,86545.61806421902,96248.26256940827,39271.309295301275,91656.62842411664,88996.60689411423,43372.74648448704
2019-10-23,117876.09382906514,86825.89228968513,96320.23218007725,40083.09785238216,91849.50514833264,89114.26473518161,44269.31703222504
2019-10-24,117737.20571822452,85519.89234816459,95542.61994435007,39962.84855882501,91156.6682735293,87665.2019180253,44136.50908112836
2019-10-25,117949.30972931901,86270.54528971881,96028.64401243874,39974.69123474135,91656.70546012932,88381.95034835159,44149.58858852026
2019-10-27,118221.84266654217,86562.13479666946,96231.5712960793,39974.69123474135,91850.424741734,88680.64690888333,44149.58858852026
2019-10-29,119781.13077256967,88337.62936012461,98129.13695093604,39974.69123474135,93641.15625734896,90548.81071137966,44149.58858852026
2019-10-30,120245.55043211406,88865.13251094833,98684.5954655934,39974.69123474135,94166.74167310233,91099.19291440908,44149.58858852026
2019-10-31,120777.96797249375,89646.67204248927,99446.93027759776,39974.69123474135,94829.81306426266,91995.70572294235,44149.58858852026
2019-11-01,120820.84764235381,90551.19258258831,100231.17229472342,39974.69123474135,95521.62738349228,93048.57948549425,44149.58858852026
2019-11-04,121006.79991731755,91190.37120403831,100815.86576962768,39974.69123474135,95838.76138691278,94069.91879590569,44149.58858852026
2019-11-05,120764.98484309668,90475.23474004124,100163.97143174175,39974.69123474135,95244.25419565926,93259.26311848013,44149.58858852026
2019-11-06,120777.23049812266,90864.99959176933,100398.63162060943,39974.69123474135,95472.98095024348,93705.48211244155,44149.58858852026
2019-11-07,121217.73141345431,91350.51893802117,100867.04503532725,39974.69123474135,95938.50393984065,94220.21427181651,44149.58858852026
2019-11-08,119793.30410383776,90272.26717990926,99714.54292164622,39974.69123474135,94780.33231407059,93199.27032721379,44149.58858852026
2019-11-11,119687.28673175653,90145.79607093979,99594.34563660182,39974.69123474135,94633.9452687366,93113.38617159858,44149.58858852026
2019-11-13,118796.34962581786,89222.89415852807,98171.18152353098,39974.69123474135,93585.27038724815,91722.05935241624,44149.58858852026
2019-11-14,119010.48899078975,88716.14378782772,97729.70613324421,39854.767161037125,93190.89549651211,91152.50914624037,44017.139822754696
2019-11-15,119027.59377993399,88886.60223869488,98136.87423087614,39779.988049007676,93409.06427729725,91499.1886657797,43934.550891379884
2019-11-18,119071.60727412258,89189.35167704281,98701.09469454446,40173.46523527317,93838.64422024516,91907.67086919166,44369.12225030742
2019-11-19,119116.9176985372,89113.29978465056,99110.13895885341,39624.52557232865,94129.16349955363,91810.96727849748,43762.85214463969
2019-11-20,119833.43824737884,89683.72674679442,99814.02216852535,39530.44716568517,94683.36271621041,92552.95984670676,43658.94832899838
2019-11-21,119338.11969031215,89122.99428685453,98895.14434330788,39411.85582418811,94174.372162595,91455.5055463889,43527.97148401138
2019-11-22,118921.51055170476,89269.35024684653,99246.30839040999,39381.56682175546,94392.22734448686,91734.68085463617,43494.51914317138
2019-11-25,120776.8843240272,90387.66323329131,100966.07392189669,39864.86308504729,95854.87409828328,92980.15528934085,44028.29015006686
2019-11-26,120044.35236053402,89659.97391140343,99965.17627501523,39864.86308504729,94879.0080924445,92346.68800441259,44028.29015006686
2019-11-27,120710.17482630275,90067.78280521749,100550.0741645598,39864.86308504729,95481.22977404244,92640.95846484587,44028.29015006686
2019-11-28,121338.24334519822,90585.48408948714,101282.6423122818,39864.86308504729,96095.27118477876,93259.10915023077,44028.29015006686
2019-11-29,120485.0810898275,89959.7376272051,100561.6417929463,39745.26849579215,95386.67563958967,92680.766190713,43896.20527961666
2019-12-02,119844.39373524213,89434.403647007,100033.3989541392,39309.157872964875,94801.0969542573,92280.39986879271,43414.547911362264
2019-12-03,119302.34736157021,88922.12257658115,98762.59419473418,39324.119445537675,93953.23083329336,91426.85655755745,43431.07204834302
2019-12-04,120068.40801096256,89474.4887211917,99347.06921225438,39173.27867118257,94583.37896362526,91889.38898509217,43264.47768765002
2019-12-05,119450.2213328073,89092.7942199777,98700.94406290422,39458.799860993095,93990.82407505017,91553.65082713531,43579.81828626568
2019-12-06,118554.35649113746,88303.18058683214,97509.78083604272,38991.95465968798,93086.47020198018,90508.71384518965,43064.216465826044
2019-12-09,118473.7075271437,88444.15118873736,97812.42164109313,38978.27134723202,93193.98785695707,90841.30556700887,43049.10408854934
2019-12-10,117593.29186541702,87604.86693695518,96654.96990460459,38355.869692597844,92289.19663184062,89775.63045935516,42361.69972993776
2019-12-11,118118.41408247162,87879.63963619489,96879.37287612613,38470.63497920217,92555.66865095627,90012.61659663939,42488.450932544205
2019-12-12,119008.39603949043,88540.09070772823,97862.01104883886,38934.04269892534,93369.0392311886,90780.84135805996,43000.25626593328
2019-12-13,119907.88208284689,89456.58108219717,99294.71585418547,38817.240570828566,94468.34428594942,91992.09610252336,42871.255497135484
2019-12-16,119468.62086175533,88913.4476350668,98443.3873074593,39203.95150836521,93855.80689991236,91174.58260967895,43298.35395037096
2019-12-17,120351.04070178137,89531.10261863391,99328.69339119551,39203.95150836521,94611.38508173161,91883.17078419958,43298.35395037096
2019-12-18,120628.80860326819,89863.403366886,99757.16550416358,39086.339653840114,95005.37074319908,92232.41443194021,43168.45888851985
2019-12-19,121103.99021342842,89980.90966676781,99992.7561635357,39290.97036905398,95269.86207476161,92269.4954543421,43394.460931567904
2019-12-20,121923.74036177191,90330.8985210543,100592.75112277648,39290.97036905398,95846.03753153133,92591.27267929795,43394.460931567904
2019-12-23,121706.99304846131,90201.61250881615,100461.64818650251,39173.097457946824,95744.82047161552,92396.85040221755,43264.2775487732
2019-12-24,121429.9377241294,90225.13564602543,100627.17230652618,39360.68353926833,95770.96026556786,92621.14440552772,43471.45484169197
2019-12-26,121070.37664801179,89775.42078117942,100264.1612717458,39310.25009526098,95418.23435184485,92156.83677883951,43415.75420373204
2019-12-27,122145.66438550658,90504.68300180447,101062.77340158922,40321.62279320801,96223.17245244423,92839.63479750614,44532.75316344426
2019-12-30,122333.34210813147,90765.36389109885,101531.42031804302,40321.62279320801,96653.50996617619,93111.84407868405,44532.75316344426
2019-12-31,121617.3257451465,90736.88769176946,101359.53069804853,40200.65792482838,96474.32289249112,93116.78356757092,44399.154903953924
2020-01-01,121599.83368455178,91046.57070355391,101328.15744319418,40362.9588826187,96436.52492777842,93517.41907277325,44578.40633261132
2020-01-02,122558.06416327723,91727.55892745219,102385.35503838184,40241.87000597085,97370.95618247477,94183.24395903616,44578.40633261132
2020-01-03,121920.41365106836,91236.86582858414,101909.65484966052,39608.45416623278,96882.93297368234,93640.08529128908,44578.40633261132
2020-01-06,119817.65049942156,89790.17959651237,100071.08886530879,38969.09005981899,95064.62891464075,92360.50093053821,44444.6711136135
