Date,S1,S1_inverted,S3,EW_Nifty
2019-01-21,92709.46329225565,92196.86975538541,100000.0,103891.73782666563
2019-01-22,92151.54961401779,92257.06107723016,100000.0,103658.09286700835
2019-01-23,91706.71629206065,91896.18765561823,100000.0,103181.00876804482
2019-01-24,91534.34338697518,91836.67584728298,100000.0,103154.7228333254
2019-01-25,90474.03017538552,91167.16693456571,100000.0,102241.77123132512
2019-01-28,89436.89827300646,89502.38708656128,100000.0,100819.78442124513
2019-01-29,89356.3823118323,90198.82963207304,100000.0,101257.93635757352
2019-01-30,89631.10049980329,90622.36076401357,100000.0,101656.2009681189
2019-01-31,90482.12893804802,91525.45207633017,100000.0,102720.15366376836
2019-02-01,91847.85387860809,91897.32039588144,100000.0,103746.78949999125
2019-02-04,90759.70723255066,91647.4285286406,100000.0,102950.96567988502
2019-02-05,90853.91975885544,92039.14277242939,100000.0,103263.50611431227
2019-02-06,92309.24564274696,92845.54615207485,100000.0,104524.57734059426
2019-02-07,93316.18331262612,92766.79937656615,100000.0,104904.1411683462
2019-02-08,91659.03228823259,91742.51938430604,100000.0,103524.05746570292
2019-02-11,90743.39544499318,90433.70881593332,100000.0,102283.09071288993
2019-02-12,90926.71480426684,90147.27812339913,100000.0,102101.55636005182
2019-02-14,90229.48169981859,89315.33429492782,100000.0,101290.07385652214
2019-02-15,89699.96036134286,88836.76682502292,100000.0,100714.20764604592
2019-02-18,88941.98335746226,88155.79235267613,100000.0,99874.32624549855
2019-02-19,88976.3972901459,88037.41974427245,100000.0,99698.95232962599
2019-02-20,90413.14249495913,89031.53467535962,100000.0,101007.2703547978
2019-02-21,90914.6939823147,89871.78844607381,100000.0,101740.08910396058
2019-02-22,91885.34771685422,89928.28325628868,100000.0,102311.95672709528
2019-02-25,92728.9569674131,90288.64334496726,100000.0,103077.86843743354
2019-02-26,92888.71309026981,89908.43552815856,100000.0,102973.6856693034
2019-02-27,93167.15501523274,89525.53154000125,100000.0,102831.55161245394
2019-02-28,93112.57148424022,89395.6635861399,100000.0,102653.91313707833
2019-03-01,94176.66747205626,89931.22184533671,100000.0,103484.63404280567
2019-03-05,96490.31897212773,90703.07818361747,100000.0,105010.96995615624
2019-03-06,96872.61508115086,91092.99792307804,100000.0,105425.00936012142
2019-03-07,96506.7413148772,90594.59458325779,100000.0,104952.5423243254
2019-03-08,96401.22386001743,90198.03490893294,100000.0,104703.92675915059
2019-03-11,98506.39167607564,91549.08252126358,100000.0,106381.66600042657
2019-03-12,99463.99155411363,92293.29734676685,100000.0,107352.89739396554
2019-03-13,98784.99646574003,92474.04874577033,100000.0,107225.08720387063
2019-03-14,99013.7817578716,92546.05069215331,100000.0,107341.77345144887
2019-03-15,99358.74676527393,93071.9431243516,100000.0,107834.58753908616
2019-03-18,99165.68611453635,93157.05577063211,100000.0,107935.28320049997
2019-03-19,99134.03913713868,93829.84618310169,99700.0,108365.25653108617
2019-03-20,98124.47724105114,93408.09297176688,99062.35580049841,107674.7418102025
2019-03-22,98091.87396725749,92946.06954778393,98079.692321913,107421.03033928154
2019-03-25,97276.76153580907,92590.6101018372,97500.0672336318,106767.95073478171
2019-03-26,98418.60213371506,93514.83363638399,98113.24196420459,107958.94237334769
2019-03-27,97907.59334482806,93618.07965688557,97777.99320552207,107855.50998596183
2019-03-28,98323.77235953257,94339.41538380242,97689.05226122666,108648.89929616239
2019-04-01,101011.45110529564,94520.70713304308,98014.99146138458,109794.35568785429
2019-04-02,100879.67595796884,94774.16565673865,98645.46394525727,109951.42938793977
2019-04-03,100338.99343061048,94197.33910263445,97883.8391503676,109343.91532706836
2019-04-04,100298.44206156665,93794.99623419032,98603.72548190475,108923.15306289215
2019-04-05,101143.69062506052,94353.78043799331,99723.30797175183,109617.67381292526
2019-04-08,100549.33688788941,94004.67299152853,98853.82380000062,109081.09912203507
2019-04-09,101516.82603203415,94281.2698784343,100272.82529736587,109650.62425926582
2019-04-10,101054.36419443741,93845.11368025996,100644.5932671908,109157.6665619775
2019-04-11,101417.71330783993,94083.79752285377,100832.85759018574,109399.8727996641
2019-04-12,102293.78238081234,94346.47442682137,102148.73848757747,109901.85281733796
2019-04-15,103186.68391626066,94799.4489493325,103880.48635271347,110568.21534631691
2019-04-16,103724.90850490057,95582.63062103726,104452.94415927363,111417.65925192715
2019-04-18,102902.2481830969,95194.1991218677,104139.5853267958,110917.88659407794
2019-04-22,101037.3387130013,94363.7158863478,100638.97984053905,109757.46717083761
2019-04-23,100475.14058277063,94185.16209382055,101224.06505837475,109578.5463225527
2019-04-24,100737.54273762558,95370.83246269358,101256.4224765276,110762.36215716293
