Date,strategy,ew_nifty
2025-01-21,186173.4548339151,363155.7614880716
2025-01-22,186306.68480001143,363567.7945936724
2025-01-23,187140.98187106935,365869.75136611814
2025-01-24,185765.00870189778,361395.6253684289
2025-01-27,183399.9767056001,355592.47962603427
2025-01-28,183198.52693607938,356717.2834730211
2025-01-29,185385.42568046355,361846.6963794093
2025-01-30,186190.71508611258,361090.36287021363
2025-01-31,189618.1336690159,366971.4100252262
2025-02-01,189518.53363336052,368687.6441741227
2025-02-03,187679.4560058419,367389.8818109119
2025-02-04,189966.36297035753,369254.3579151511
2025-02-05,189811.329651998,369260.08931887377
2025-02-06,188716.6819605069,364946.1957527813
2025-02-07,189088.58057462506,367280.99604466866
2025-02-10,187046.97170927003,362155.1447152147
2025-02-11,184219.60069003643,358398.5999530273
2025-02-12,184734.29428879597,359377.33333341056
2025-02-13,184857.55024534033,357471.74535649846
2025-02-14,182827.69962823138,352340.29385212227
2025-02-17,184115.34371058212,354782.53127082804
2025-02-18,183918.35263174443,354474.5815351947
2025-02-19,183839.23151969357,352977.2352830243
2025-02-20,184723.87880080743,354365.16320351826
2025-02-21,183990.795131879,351525.87846468104
2025-02-24,182188.83591745747,348376.03134035075
2025-02-25,181395.4377535815,347552.570892635
2025-02-27,180978.67358847253,346240.3319099358
2025-02-28,177113.88850850888,339302.98565361794
2025-03-03,177462.42632001368,341180.59950232913
2025-03-04,177266.10647911378,341139.8221272082
2025-03-05,180342.0690691743,348218.37319690385
2025-03-06,182500.55714908976,351201.3018668955
2025-03-07,182063.60064537823,350162.42956593947
2025-03-10,180856.84254491716,347167.5359457394
2025-03-11,180415.15716497874,349137.50086558715
2025-03-12,179748.73645095856,347857.3904445493
2025-03-13,178875.30289350916,346238.6827019476
2025-03-17,180030.67443734873,349591.1549030535
2025-03-18,180043.30348383516,349603.7015876185
2025-03-19,183897.2386082228,356653.056750527
2025-03-20,185855.58818521092,360233.7078148272
2025-03-21,187212.3769373189,362555.73647453566
2025-03-24,188744.95302874313,365125.3357676643
2025-03-25,188289.6650088088,364561.9444961287
2025-03-26,187061.8910602074,362972.4537879878
2025-03-27,188603.24074775656,366410.7935628515
2025-03-28,187645.04325364687,363575.32455522136
2025-04-01,186764.53986999727,362527.6090058632
2025-04-02,188016.0530883682,365946.10039886425
2025-04-03,187946.23919741632,366282.7319611363
2025-04-04,183618.84289850065,358535.5935754427
2025-04-07,178527.03015782507,342661.29072304134
2025-04-08,182006.330183088,349628.8084926792
2025-04-09,180978.57583228714,346475.86839467834
2025-04-11,184362.47396180732,354558.27636507613
2025-04-15,188021.62109297916,362557.48261827475
2025-04-16,189661.83464213237,364727.2359942308
2025-04-17,191412.84904498406,368976.6429713076
2025-04-21,194115.85500089786,374409.1689887242
2025-04-22,193387.9708302441,373780.7097785584
2025-04-23,196104.18629334733,377172.1479232101
2025-04-24,196101.3834077144,376577.434611264
2025-04-25,193674.40850283572,370139.40967110515
2025-04-28,195737.58623205786,373539.4024226295
2025-04-29,195589.94027658654,373076.3564870558
2025-04-30,195067.64976410134,370247.3129554556
2025-05-02,194297.93288028552,368685.7042041368
2025-05-05,196079.8017561474,375842.55530678335
2025-05-06,195296.10720391225,371829.4206878799
2025-05-07,195105.0301392288,372130.8180900909
2025-05-08,193557.0569445811,368193.4074277537
2025-05-09,193323.19022640787,364366.4482847271
2025-05-12,200449.3240922835,380758.20822072297
2025-05-13,198518.2665080514,377065.3134264999
2025-05-14,200226.43716449756,379347.18062425154
2025-05-15,203833.60391306272,386968.3388247079
2025-05-16,203565.67170490223,387165.4967372708
2025-05-19,203164.61707353248,386124.0412237974
2025-05-20,201084.3949515543,381320.7971368293
2025-05-21,201823.7238394948,382874.14327070053
2025-05-22,199711.8924556963,379228.8368653198
2025-05-23,201743.2853178674,383917.6582190363
2025-05-26,203941.99556355263,386801.69685742876
2025-05-27,203599.19087067334,384926.3615319817
2025-05-28,202418.09688389572,382973.51617675344
2025-05-29,204550.5723829082,385062.8878731998
2025-05-30,202551.78267013797,382429.92754370114
2025-06-02,201313.89514270352,382144.48543086956
2025-06-03,200238.3251174696,378772.7409353891
2025-06-04,200634.35770327723,378969.6831054615
2025-06-05,201864.79594324285,381307.25907780416
2025-06-06,203550.6031747966,386236.8406234927
2025-06-09,205817.8879689779,389787.6769635474
2025-06-10,207430.17022943322,390390.88839504274
2025-06-11,209233.32777417183,390207.49260666163
2025-06-12,207546.07878821788,385374.54489805846
2025-06-13,207148.66393769858,382751.07998050237
